title;place;date;center
Concert d'inauguració de curs a càrrec del professorat del Centre;Auditori Higini Anglès;8 d'octubre 2024;ECM Reus
Actuació d'alumnat  de cinquè i sisè de Grau Professional a la Biblioteca Xavier Amorós de Reus;Biblioteca Xavier Amorós;26 d'octubre 2024;ECM Reus
Big-Band i suport a l'aula de música moderna a càrrec del professor Enrique Ordax Caballero;Auditori Higini Anglès;3, 10, 17 i 24 d'octubre 2024;ECM Reus
Actuació de grups de Cambra a la Fira de l'Oli;Plaça de la Llibertat;16 de novembre 2024;ECM Reus
Sons de Tardor - actuacions a la plaça Prim de grups de música de cambra;Plaça Prim;18 de novembre 2024;ECM Reus
Concert Premi Extraordinari d'Instrument de Percussió de GP;Auditori Higini Anglès;18 de novembre 2024;ECM Reus
Big-Band i suport a l'aula de música moderna;Auditori Higini Anglès;7,14,21 i 28 novembre 2024;ECM Reus
Assaig dels Cors de Música 6 i Grau Professiona;Auditori Higini Anglès;30 novembre 2024;ECM Reus
Sortida de Música 4, 5 i 6 a l'Auditori de Barcelona per assistir al Concert de Nadal: El Trencanous;Auditori de Barcelona;15 desembre 2024;ECM Reus
Actuació Percu&Brass Nadal a càrrec del departament de metall i percussió;Plaça Llibertat;17 desembre 2024;ECM Reus
Música per joguines;Auditori Higini Anglès;16, 17 i 19 desembre 2024;ECM Reus
Veus per la Marató, a càrrec dels cors de l'ECM Reus;Esglesia Sant Francesc a Reus;20 desembre 2024;ECM Reus
2a Trobada de  Banda i Orquestra compactada i Concert de Solistes en favor de la Fundació Esclerosi Múltiple FEM;Auditori Higini Anglès;10, 11 i 12 gener 2025;ECM Reus
Taller de presència escènica per a cantants, a càrrec de Lucía Torres;ECM Reus;12 febrer 2025;ECM Reus
Trobada de Conjunts de Guitarra de la Diputació de Tarragona;Auditori de la Diputació de Tarragona;22 febrer 2025;ECM Reus
Concert l'Orquestra Franz Schubert Filharmonia;Palau de la Música Catalana Barcelona;23 febrer 2025;ECM Reus
Parlem del teu futur  Xerrada adreçada a alumnat de GP a càrrec d'Antoni Tolmos;ECM Reus;26 febrer 2025;ECM Reus
Masterclass de violoncel adreçada a l'alumnat de l'aula a càrrec de Xavier Mas Manresa;ECM Reus;25 i 26 febrer 2025;ECM Reus
Col·laboració amb el CEE St Rafael. Bany Sonor, a càrrec de professorat del Centre;CEE Sant Rafael;6 març 2025;ECM Reus
Actuació de grup de cambra en acte organitzat per l'Ajuntament de Reus, col·locació de llamborda Stolperstein;Carrer Batan, Reus;6 març 2025;ECM Reus
Les Sortides Professionals al Món de la Música, xerrades d'orientació professional Parlem del teu futur?;Saló Noble Palau Bofarull;6 març 2025;ECM Reus
20a trobada d'orquestres de nivell elemental de Vila-seca;Auditori Josep Carreras a Vilaseca;8 març 2025;ECM Reus
Actuació de tres grups de cambra al lliurament del premi de poesia catalana Francesc Martí Queixalós;Centre Amics de Reus;13 març 2025;ECM Reus
Masterclass de violoncel adreçada a alumnat de l'aula, a càrrec de Xavier Mas Manresa;ECM Reus;11,12,18 i 19 març 2025;ECM Reus
Activitat Les Escoles van al Conservatori;Auditori Higini Anglès;18 i 19 març 2025;ECM Reus
Participació a la Trobada de Trompistes;Conservatori de Vila-seca;22 i 23 març 2025;ECM Reus
Participació a la trobada de percussionistes de Grau Professional;ESMUC;22 març 2025;ECM Reus
Xerrada a càrrec de Montserrat Canela, adreçada a alumnat de 4t i 5è GP;ECM Reus;25 març 2025;ECM Reus
Jornada de portes obertes al Conservatori;ECM Reus;29 març 2025;ECM Reus
Participació en la I Trobada de Violoncels d'Elemental del Camp de Tarragona;Auditori de la Diputació de Tarragona;29 març 2025;ECM Reus
Suport a les Escoles van al Conservatori i taller de violoncel;ECM Reus;25 i 26 març 2025;ECM Reus
Masterclass de violoncel adreçada a alumnat de l'aula, a càrrec de Xavier Mas Manresa;ECM Reus;1 i 2 abril 2025;ECM Reus
Participació a 9è Premi BBVA de Música;Conservatori municipal de Barcelona;5 i 6 abril 2025;ECM Reus
"Taller de Música i Ritme:  Cantata ""Patuflash"", a càrrec d'Alba Palouzié";ECM Reus;7 i 8 abril 2025;ECM Reus
Concert del 50è Aniversari de l'ECM Reus;Teatre Fortuny Reus;10 i 11 abril 2025;ECM Reus
Participació en la Trobada de clarinets;Escola Música Alcanar;26 abril 2025;ECM Reus
Porta un amic o amiga al Conservatori;ECM Reus;5 al 9 maig 2025;ECM Reus
Recital de Viola, Rosa Pardal;Auditori Higini Anglès;7 maig 2025;ECM Reus
Concert Aula Harmonia;Auditori Higini Anglès;9 maig 2025;ECM Reus
"Taller Iniciació i Música 1 ""Ma Me Mi Mozart""";ECM Reus;10 maig 2025;ECM Reus
Simulacre prova d'accés a Grau Professional;ECM Reus;10 maig 2025;ECM Reus
Trobada de Fagots al Liceu;Conservatori Liceu Barcelona;10 maig 2025;ECM Reus
Recital de Flauta, Jordi Simó;Auditori Higini Anglès;12 maig 2025;ECM Reus
Recital de Flauta, Naira Porcar;Auditori Higini Anglès;14 maig 2025;ECM Reus
Participació d'alumnat en el Dia Internacional dels Museus;Museu Salvador Vilaseca;17 maig 2025;ECM Reus
Prova d'accés a Grau Professional;ECM Reus;20 maig 2025;ECM Reus
Prova d'accés a Grau Professional;ECM Reus;20 maig 2025;ECM Reus
Acte de Graduació dels alumnes de 6è de Grau Professional;Auditori Higini Anglès;27 maig 2025;ECM Reus
Concert dels Cors de GP amb els Cors del Conservatori de Vila-seca i EMM Cambrils;Prioral de Sant Pere;29 maig 2025;ECM Reus
"Taller Moviment Concert ""Àfrica"" Cors M4, 5 i 6, a càrrec de Ció Borràs";Auditori Higini Anglès;4 i 9 juny 2025;ECM Reus
Pràctiques de l'Alumnat d' Introducció a la Direcció amb l'Orquestra i la Banda de GP3-6 ;Auditori Higini Anglès;6 juny 2025;ECM Reus
"Sortida familiar per assistir al concert ""Ma, me, mi, Mozart)";Auditori de Barcelona;8 juny 2025;ECM Reus
'XVI TUBADA, organtizada per l'Associació Catalana de Tubes i Bombardins (ACATUB);Godall;8 juny 2025;ECM Reus
Recital de Guitarra, Xavier Pardo;Palau Bofarull;9 juny 2025;ECM Reus
Graduació Alumnes de Música 6;Auditori Higini Anglès;10 juny 2025;ECM Reus
"Concerts  ""Música als Terrats"" a càrrec de Cuarteto Nerina";ECM Reus;11 juny 2025;ECM Reus
Concert d'Iniciació i Música 1;Auditori Higini Anglès;12 juny 2025;ECM Reus
"Concerts  ""Música als Terrats"" a càrrec de Duet Elysium";ECM Reus;13 juny 2025;ECM Reus
Alteracions físiques en músics i com prevenir-la, a càrrec de Carles Expósito.;ECM Reus;16 juny 2025;ECM Reus
Concert Cors Música 2 i Música 3 ;Auditori Higini Anglès;17 juny 2025;ECM Reus
Taller Corda Fregada (Emoodia) a càrrec Ernesto Briceño;Auditori Higini Anglès;16, 17 i 18 juny 2025;ECM Reus
Festa del Melòman 2025;ECM Reus;19 juny 2025;ECM Reus
Sortida banda GP1 i GP2;Auditori de la Diputació de Tarragona;19 juny 2025;ECM Reus
Recital de Violoncel, Marina Andreu;Auditori Higini Anglès;26 juny 2025;ECM Reus
Participació d'alumnat de piano al concert dels guanyadors del Concurs Maria Canals al Palau de la Música Catalana;Palau de la Música Catalana Barcelona;15 juliol 2025;ECM Reus
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
